"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rpl12",4.79795306549882e-222,0.369629740101469,0.995,0.984,5.36507111784079e-218
"Rps3a1",4.96597429605648e-184,0.315677310651416,0.999,0.998,5.55295245785036e-180
"Gm9844",8.68566365175293e-168,-0.42421911690156,0.983,0.991,9.71230909539013e-164
"Psme2",2.57404056603201e-146,-0.813873842682787,0.616,0.734,2.87829216093699e-142
"Rpl7",2.35407003161147e-140,0.398668631281525,0.949,0.871,2.63232110934795e-136
"Rpl13",4.36510273652529e-126,0.26610914478322,1,1,4.88105787998259e-122
"Tmsb4x",7.32700653061068e-119,-0.335537526833053,0.997,0.997,8.19305870252886e-115
"Rps17",6.84756481024121e-114,0.55900366561736,0.619,0.4,7.65694697081172e-110
"Ddx5",8.95054461954859e-85,-0.28169624345157,0.993,0.994,1.00084989935792e-80
"Rps18",4.89327725387963e-84,-0.29793725899421,0.985,0.989,5.4716626252882e-80
"Rps6",2.78857008105188e-80,0.322518761022503,0.929,0.875,3.11817906463221e-76
"Fkbp5",2.03545984462332e-77,0.507630036173482,0.181,0.064,2.2760511982578e-73
"Plek",5.85479021318315e-74,-0.813835823065272,0.242,0.388,6.5468264163814e-70
"Rps10",8.35096826624218e-71,0.260630597014993,0.951,0.914,9.338052715312e-67
"Emp3",1.60858825357733e-70,-0.473223268007273,0.858,0.88,1.79872338515017e-66
"Serf2",2.96502377889262e-69,-0.28948051472088,0.989,0.99,3.31548958955773e-65
"Pfn1",1.77966476716236e-68,-0.389846693075921,0.959,0.967,1.99002114264096e-64
"Psme1",6.24054782882444e-61,-0.405301765631741,0.783,0.815,6.97818058219149e-57
"Nme2",4.03524044065792e-60,0.392847749854529,0.673,0.512,4.51220586074368e-56
"S100a6",1.69830728872962e-57,-0.412233634026887,0.938,0.949,1.89904721025746e-53
"Rpl37a",1.62448966501543e-56,0.26359659455399,0.911,0.841,1.81650434342026e-52
"Gm11361",1.20159572210513e-54,-0.253978152322097,0.975,0.981,1.34362433645796e-50
"Gm10076",5.0922978144158e-54,0.352393884550776,0.613,0.449,5.69420741607975e-50
"Tmsb10",4.49660640574298e-51,-0.263842405880635,0.959,0.96,5.0281052829018e-47
"Tsc22d3",5.59982577170777e-48,0.363006437542603,0.471,0.318,6.26172517792363e-44
"Lgals1",2.55225091395938e-46,-0.619048551377869,0.472,0.566,2.85392697198938e-42
"Rpsa",2.9059284173162e-45,0.323721679533455,0.606,0.459,3.24940915624297e-41
"Sept7",7.66637007390579e-43,-0.369096442731257,0.843,0.867,8.57253501664145e-39
"S100a4",8.09416535860578e-43,-0.392142229456257,0.907,0.918,9.05089570399298e-39
"Rplp0",1.1882145298391e-41,0.257849901520671,0.872,0.806,1.32866148726608e-37
"Eif3e",1.54071895572523e-39,0.253176577691696,0.811,0.709,1.72283193629195e-35
"Pde3b",1.56682089891294e-39,0.344237820841214,0.141,0.064,1.75201912916445e-35
"Srsf5",2.10356693927577e-38,-0.263362476430975,0.888,0.888,2.35220855149816e-34
"Msn",2.82425555337673e-38,-0.456643048949833,0.541,0.606,3.15808255978586e-34
"Psmb9",4.54111647555883e-37,-0.473696668094655,0.439,0.504,5.07787644296988e-33
"Ptprc",1.34193822813524e-36,-0.308687143195893,0.791,0.802,1.50055532670083e-32
"Cfl1",1.37979582618554e-36,-0.271971582999354,0.928,0.932,1.54288769284067e-32
"Mbnl1",3.93830073092582e-36,-0.300990904506944,0.769,0.792,4.40380787732125e-32
"Stat1",1.84422657700094e-35,-0.523235898261925,0.159,0.247,2.06221415840246e-31
"Calm1",1.08924614407287e-34,-0.303508062317714,0.918,0.935,1.21799503830229e-30
"H2afz",2.47144590613748e-34,-0.340029507858399,0.703,0.729,2.76357081224293e-30
"Rps2",2.30481783297213e-33,0.277099357081031,0.404,0.278,2.57724730082943e-29
"Ywhaz",2.99070091766817e-33,-0.329573689197431,0.75,0.771,3.34420176613655e-29
"Rpl41",1.75588206044109e-32,0.269809341369781,0.401,0.278,1.96342731998523e-28
"Rap1b",1.09296278647994e-31,-0.275494750078191,0.805,0.815,1.22215098784187e-27
"Lrrc58",2.180777179458e-31,-0.476098091079999,0.459,0.517,2.43854504206994e-27
"Prelid1",3.33274409156683e-31,-0.396549697855854,0.514,0.565,3.72667444319003e-27
"Smdt1",1.07515910426368e-30,0.275579047622683,0.326,0.218,1.20224291038764e-26
"Btf3",2.54311539994885e-29,0.253373632110303,0.712,0.595,2.8437116402228e-25
"Rpl39",5.1804984926995e-29,0.250684035726183,0.57,0.441,5.79283341453658e-25
"Smap2",2.25639578550347e-28,0.317249397715312,0.613,0.488,2.52310176734997e-24
"Tln1",7.43684015500594e-28,-0.370713411481622,0.602,0.638,8.31587466132765e-24
"Psma7",1.35349091130741e-27,-0.297407621815713,0.76,0.768,1.51347353702395e-23
"Efhd2",2.96492093731262e-27,-0.482127914772505,0.341,0.424,3.31537459210297e-23
"Hsp90aa1",3.87939612820211e-27,-0.300493975295089,0.775,0.778,4.3379407505556e-23
"Tgfb1",1.34644047644885e-26,-0.379623657631655,0.559,0.601,1.50558974076511e-22
"Tpm3",1.1062400737266e-24,-0.385679667983466,0.504,0.545,1.23699765044108e-20
"Id2",9.66518537292398e-24,-0.364375108128898,0.495,0.562,1.08076102840036e-19
"Krtcap2",8.15797780628877e-22,-0.293811716045087,0.692,0.707,9.1222507829921e-18
"Calm2",4.15583617747423e-21,-0.254284564080725,0.851,0.829,4.64705601365168e-17
"Arpc2",6.89262511537217e-21,-0.254511626435014,0.895,0.883,7.70733340400916e-17
"Cmc1",4.92906273530837e-20,-0.515216577754975,0.215,0.281,5.51167795062182e-16
"Atp5g1",4.47511050539735e-18,-0.356809484496568,0.358,0.403,5.00406856713532e-14
"Lcp1",4.13066545126156e-17,-0.331631391299802,0.485,0.52,4.61891010760068e-13
"Nedd8",1.55321403352818e-16,-0.262696793409825,0.611,0.62,1.73680393229121e-12
"Ptp4a2",1.67810272588069e-16,-0.300191297764812,0.545,0.563,1.87645446807979e-12
"B930036N10Rik",1.05890043834983e-15,-0.385256711879786,0.312,0.37,1.18406247016278e-11
"Sod2",1.21063824652048e-15,0.307248817573233,0.191,0.134,1.3537356872592e-11
"Churc1",4.07534467436452e-15,-0.377865602213086,0.235,0.284,4.55705041487441e-11
"Ube2l3",1.21624079568648e-14,-0.273265133547769,0.508,0.531,1.36000045773662e-10
"Actr3",1.88548683904466e-13,-0.286569045273454,0.475,0.499,2.10835138341974e-09
"Fam49b",2.14265725928485e-13,-0.314769723645975,0.414,0.454,2.39591934733232e-09
"Bcl11a",3.26906219020659e-13,0.375550381034126,0.119,0.079,3.65546534108901e-09
"Pomp",3.70118045408812e-13,-0.308047214770511,0.446,0.464,4.13865998376133e-09
"Taf10",4.31972748865323e-13,-0.28994485003523,0.527,0.539,4.83031927781204e-09
"Ier5",2.43181419973257e-12,-0.431746627378711,0.286,0.327,2.71925463814095e-08
"Tcf7l2",4.78045196772377e-12,-0.311297544684394,0.074,0.113,5.34550139030872e-08
"Irf1",1.51926240586855e-11,-0.364969167176958,0.314,0.353,1.69883922224221e-07
"Macf1",1.71781105430348e-11,-0.251204337624443,0.443,0.472,1.92085632092215e-07
"Cap1",2.53339494925436e-11,-0.317412481034638,0.24,0.282,2.83284223225622e-07
"Dnaja1",1.67482802857992e-10,-0.299576609630823,0.369,0.396,1.87279270155806e-06
"Actb",4.09916634225161e-10,-0.254918006776121,0.575,0.573,4.58368780390575e-06
"Kras",1.10781018529285e-09,-0.311743086101717,0.214,0.248,1.23875334919447e-05
"Bcl7c",1.21593627793532e-09,-0.343052695562639,0.323,0.347,1.35965994598728e-05
"Calm3",2.11290678964099e-09,-0.325216652317618,0.293,0.324,2.36265237217656e-05
"Fos",2.49578321852746e-09,0.270901921254604,0.741,0.667,2.7907847949574e-05
"Ube2z",3.83835945615168e-09,-0.287728045008405,0.142,0.177,4.29205354386881e-05
"Mtss1",8.1916649761696e-09,-0.296946961794389,0.148,0.186,9.15991977635285e-05
"Nfkbia",9.61980722250153e-09,-0.660103094831987,0.336,0.369,0.000107568684362012
"Calr",9.85546221201728e-09,-0.331823225433969,0.332,0.358,0.000110203778454777
"Mafb",4.53575590457663e-08,-0.343795676465904,0.099,0.131,0.000507188225249759
"Arpc5l",6.21611742103145e-08,-0.315017302476127,0.186,0.217,0.000695086250019737
"Psmb3",6.53329323066774e-08,-0.267907006969649,0.446,0.449,0.000730552849053267
"Sat1",7.2081549903636e-08,-0.596340867928021,0.498,0.492,0.000806015891022458
"Irf2",2.15176885284124e-07,-0.278817449013121,0.339,0.359,0.00240610793124707
"Mef2c",5.35286790385975e-07,0.280351602564905,0.22,0.185,0.00598557689009597
"Fibp",5.58256190104858e-07,-0.283201602611755,0.259,0.286,0.00624242071775252
"Nfkbiz",6.09658607560932e-07,-0.365614869302828,0.198,0.227,0.00681720254974635
"Marcks",6.37696056279033e-07,-0.475147565338718,0.174,0.204,0.00713071730131215
"Zfp36",1.21064742982442e-06,-0.473109194487993,0.358,0.37,0.0135374595602967
"Dnajc1",1.59817609789838e-06,-0.261573809374044,0.236,0.265,0.0178708051266997
"Egr1",2.9801926876145e-06,0.352188221566081,0.203,0.17,0.0333245146329053
"Vcan",7.29991198818575e-06,0.409795450165672,0.166,0.138,0.081627615851893
"Diaph1",1.11290846122367e-05,-0.267226093661492,0.305,0.322,0.124445424134031
"Sco2",0.00101347225961897,-0.273937800910187,0.161,0.177,1
"Cebpb",0.00223781676229858,-0.368471717227671,0.354,0.349,1
